best_test_score,best_train_score,best_params_preprocessor__num__binning__n_bins,best_params_regressor__lmbda,model,n_active,best_params_regressor__alpha,best_params_regressor__n_estimators,best_params_regressor__max_depth,best_lambda_idx,best_params_n_bins,best_params_max_depth,best_params_lambda,n_features,n_samples,data
-7.287003743185376e-07,-5.828194746897405e-07,4.0,0.005623413251903491,lasso,,,,,,,,,9,100,black_friday
-6.675803683319639e-07,-5.151744175384699e-07,4.0,,lasso_cv,7.0,,,,,,,,9,100,black_friday
-7.766888079376772e-07,-4.645269917572273e-07,3.0,,ridge_cv,24.0,,,,,,,,9,100,black_friday
-4.6561323976791975e-07,-3.5833151344860696e-07,,,xgb,,0.0001,100.0,,,,,,9,100,black_friday
-4.593550114614164e-07,-4.540700820705853e-07,,,dt,,,,1,,,,,9,100,black_friday
-9.549434720944434e-07,-4.655870987018149e-08,,,infinite_dt,,,,,,,,,9,100,black_friday
-4.345566350609932e-07,-3.2117126377117277e-07,,,rf,,,,2,,,,,9,100,black_friday
-4.647529336696748e-07,-1.1552190672723512e-07,,,infinite_rf,,,,,,,,,9,100,black_friday
-7.037409913268044e-07,-1.4894110463354154e-07,,,spp_reg_less_bins,36.0,,,,80.0,3.0,2.0,0.0004342526619272683,9,100,black_friday
-4.5498343309573174e-07,-3.664512940603134e-07,,,spp_reg_more_bins,14.0,,,,64.0,10.0,1.0,0.0014805396609751068,9,100,black_friday
